lr = 0.008, hs = 450, mm = 0.93, ne = 10, acc_train = 0.8963068181818182, acc_test = 0.806301652892562
lr = 0.008, hs = 450, mm = 0.9400000000000001, ne = 8, acc_train = 0.903150826446281, acc_test = 0.8114669421487604
lr = 0.008, hs = 450, mm = 0.9400000000000001, ne = 9, acc_train = 0.8877840909090909, acc_test = 0.7908057851239669
lr = 0.008, hs = 450, mm = 0.9400000000000001, ne = 10, acc_train = 0.9338842975206612, acc_test = 0.8274793388429752
lr = 0.008, hs = 450, mm = 0.9500000000000001, ne = 8, acc_train = 0.8827479338842975, acc_test = 0.7913223140495868
lr = 0.008, hs = 450, mm = 0.9500000000000001, ne = 9, acc_train = 0.912448347107438, acc_test = 0.8233471074380165
lr = 0.008, hs = 450, mm = 0.9500000000000001, ne = 10, acc_train = 0.9292355371900827, acc_test = 0.8259297520661157
lr = 0.008, hs = 450, mm = 0.9600000000000001, ne = 8, acc_train = 0.8743543388429752, acc_test = 0.7871900826446281
lr = 0.008, hs = 450, mm = 0.9600000000000001, ne = 9, acc_train = 0.8946280991735537, acc_test = 0.8150826446280992
lr = 0.008, hs = 450, mm = 0.9600000000000001, ne = 10, acc_train = 0.9353047520661157, acc_test = 0.8228305785123967
lr = 0.009000000000000001, hs = 350, mm = 0.92, ne = 8, acc_train = 0.8332902892561983, acc_test = 0.7484504132231405
lr = 0.009000000000000001, hs = 350, mm = 0.92, ne = 9, acc_train = 0.8664772727272727, acc_test = 0.7680785123966942
lr = 0.009000000000000001, hs = 350, mm = 0.92, ne = 10, acc_train = 0.8943698347107438, acc_test = 0.809400826446281
lr = 0.009000000000000001, hs = 350, mm = 0.93, ne = 8, acc_train = 0.8857179752066116, acc_test = 0.7949380165289256
lr = 0.009000000000000001, hs = 350, mm = 0.93, ne = 9, acc_train = 0.9096074380165289, acc_test = 0.8119834710743802
lr = 0.009000000000000001, hs = 350, mm = 0.93, ne = 10, acc_train = 0.903150826446281, acc_test = 0.7944214876033058
lr = 0.009000000000000001, hs = 350, mm = 0.9400000000000001, ne = 8, acc_train = 0.8915289256198347, acc_test = 0.8016528925619835
lr = 0.009000000000000001, hs = 350, mm = 0.9400000000000001, ne = 9, acc_train = 0.9016012396694215, acc_test = 0.809400826446281
lr = 0.009000000000000001, hs = 350, mm = 0.9400000000000001, ne = 10, acc_train = 0.9298811983471075, acc_test = 0.8398760330578512
lr = 0.009000000000000001, hs = 350, mm = 0.9500000000000001, ne = 8, acc_train = 0.8629907024793388, acc_test = 0.7716942148760331
lr = 0.009000000000000001, hs = 350, mm = 0.9500000000000001, ne = 9, acc_train = 0.9176136363636364, acc_test = 0.818698347107438
lr = 0.009000000000000001, hs = 350, mm = 0.9500000000000001, ne = 10, acc_train = 0.9141270661157025, acc_test = 0.8037190082644629
lr = 0.009000000000000001, hs = 350, mm = 0.9600000000000001, ne = 8, acc_train = 0.8939824380165289, acc_test = 0.8140495867768595
lr = 0.009000000000000001, hs = 350, mm = 0.9600000000000001, ne = 9, acc_train = 0.8805526859504132, acc_test = 0.7871900826446281
lr = 0.009000000000000001, hs = 350, mm = 0.9600000000000001, ne = 10, acc_train = 0.9178719008264463, acc_test = 0.8099173553719008
lr = 0.009000000000000001, hs = 400, mm = 0.92, ne = 8, acc_train = 0.8675103305785123, acc_test = 0.7794421487603306
lr = 0.009000000000000001, hs = 400, mm = 0.92, ne = 9, acc_train = 0.89036673553719, acc_test = 0.8037190082644629
lr = 0.009000000000000001, hs = 400, mm = 0.92, ne = 10, acc_train = 0.8997933884297521, acc_test = 0.7980371900826446
lr = 0.009000000000000001, hs = 400, mm = 0.93, ne = 8, acc_train = 0.8911415289256198, acc_test = 0.8068181818181818
lr = 0.009000000000000001, hs = 400, mm = 0.93, ne = 9, acc_train = 0.8801652892561983, acc_test = 0.7892561983471075
lr = 0.009000000000000001, hs = 400, mm = 0.93, ne = 10, acc_train = 0.9265237603305785, acc_test = 0.831095041322314
lr = 0.009000000000000001, hs = 400, mm = 0.9400000000000001, ne = 8, acc_train = 0.8941115702479339, acc_test = 0.8119834710743802
lr = 0.009000000000000001, hs = 400, mm = 0.9400000000000001, ne = 9, acc_train = 0.9158057851239669, acc_test = 0.8140495867768595
lr = 0.009000000000000001, hs = 400, mm = 0.9400000000000001, ne = 10, acc_train = 0.9167097107438017, acc_test = 0.8073347107438017
lr = 0.009000000000000001, hs = 400, mm = 0.9500000000000001, ne = 8, acc_train = 0.8956611570247934, acc_test = 0.8052685950413223
